date,symbol,current_price,skewed_pct_up,skewed_pct_down,smoothed_skew_bias_pct,avg_rr_long_5d,avg_rr_short_5d,long_bias,short_bias,condition,sortino_z,omega_z,risk_ratio_component,correlation_input,momentum_rsi_z,momentum_macro_input,zskew,raw_aggregate_score,smooth_score_3d,normalized_score,rank_desc,rank_asc,mse_21d,mse_mean_20d,mse_std_20d,confidence,deviation_from_mean_pct,regime_state,deviation_state,action
2026-06-27,BNB,557.44,6.772555238310529,-3.4084099056932327,1.7901520059948828,0.436333281584513,2.9552370297556867,False,True,Bearish,-0.8970174351899094,-0.7623239850392698,-0.8296707101145896,-1.66,-1.3911011790437735,-1.5825081272437738,-0.3830188668012194,-1.1137994260398956,-1.1023170070130677,0.0,9.0,1.0,0.1605264593844283,0.4624543011407818,0.1830487571800641,Reliable,-24.267558989282065,NEUTRAL,NEUTRAL,SHORT
2026-06-27,BTC,60000.3,6.136948163703138,-4.6300933050267945,1.1396779332887963,0.3193512962417842,6.283316441903688,False,True,Bearish,-0.4193994234264366,-0.2578654127941919,-0.3386324181103142,1.72,-0.0683028747146708,-1.5896035382,0.0562189602212437,-0.0380042490222676,-0.0601504033123012,0.6113676708814759,5.0,5.0,0.2060170244085349,0.3126555676424601,0.0534290067144149,Reliable,-22.60632151824183,NEUTRAL,NEUTRAL,NO TRADE
2026-06-27,CRV,0.1913,10.011106796086525,-13.67535555261622,-1.786259259543177,0.5004454361027443,2.1747397569626763,False,True,Neutral,0.1671444854359313,0.295756984718051,0.2314507350769911,-1.82,-0.4493721224736715,-0.6407790706736715,-0.4714497905002663,-0.6751945315242367,-0.6883061946432529,0.2428717492764301,7.0,3.0,0.3483488188325219,0.5039808308868421,0.1645042583397428,Moderate,-22.33503978660427,NEUTRAL,NEUTRAL,NO TRADE
2026-06-27,ETH,1573.1,8.300223679473584,-8.116029742203601,0.9009440880973552,0.3128378933322238,5.249174274640232,False,True,Bearish,0.4188543225912792,0.6126998002102537,0.5157770614007665,-0.5,0.5463196136981463,0.3549126654981462,0.1728403753261736,0.1358825255562716,0.1307620154090749,0.7233628934894243,3.0,7.0,0.1023249822913036,0.1873756722753597,0.0513253844431802,Reliable,-23.69924598210289,NEUTRAL,NEUTRAL,NO TRADE
2026-06-27,GOLD,4081.68,5.642890997491246,-1.0514729915357846,2.4886233333320407,0.5856919855850453,4.163588268287764,False,True,Bearish,-0.4914620384135454,-0.507116486888234,-0.4992892626508897,0.51,-0.897009172256143,-3.0144260082561427,0.0245011119872813,-0.7448035397299377,-1.0144887148115578,0.0515228354565006,8.0,2.0,0.2038011435397753,0.1892699479523299,0.0257296636660764,Moderate,13.761017891747493,NEUTRAL,NEUTRAL,SHORT
2026-06-27,SOL,70.47,9.249692249475672,-9.631261888459264,-0.3990879694853233,0.9049800081460646,1.7850563604768408,False,True,Neutral,0.5899938969528848,0.6512628129016012,0.620628354927243,1.68,0.96838389207283,0.7769769438728299,-0.7952952835877394,0.5705775038030834,0.6023308723852007,1.0,1.0,9.0,0.0895823925246594,0.1452128623667375,0.0402885828274212,Moderate,20.068699511158787,NEUTRAL,NEUTRAL,NO TRADE
2026-06-27,SUI,0.6842,10.433612211757758,-16.43956573217935,-3.1632988802124173,0.8384969534164725,1.2272777307070464,False,True,Neutral,-0.667842641458937,-0.7323724082724576,-0.7001075248656974,2.15,-0.6437690872351303,-0.8351760354351303,-0.3946322073950299,0.0550210580760355,0.0807491719543807,0.6940237882940754,4.0,6.0,0.143711551366894,1.007289600831045,0.6932765651547216,Moderate,-8.035244707554758,NEUTRAL,NEUTRAL,NO TRADE
2026-06-27,UNI,2.922,11.448027805652972,-18.658479636553025,-4.056776194558887,0.8852725430650412,1.1887194093550144,False,True,Neutral,1.0073427480178598,1.021434300775997,1.0143885243969284,-0.63,1.2545916827180137,1.0631847345180134,-0.396196968774911,0.2628440725350076,0.1888518713361227,0.7574402279519252,2.0,8.0,0.240839813586292,0.1798910885493498,0.0390040732289805,Warning,0.5387555555627244,NEUTRAL,NEUTRAL,NO TRADE
2026-06-27,VET,0.004501,8.228665042793404,-8.355532826146284,0.1322171509973158,0.3439520456766169,4.429875731810907,False,True,Bearish,0.1158422010037429,0.3608841409816659,0.2383631709927044,-0.5,-0.1324001153489878,-0.3238070635489878,-0.5803755584283615,-0.2914548627461612,-0.279078718502459,0.4829374432455853,6.0,4.0,0.0949549407160932,0.1636907936804574,0.0213932587073572,Reliable,-7.349144486064851,NEUTRAL,NEUTRAL,NO TRADE
2026-06-28,BNB,551.43,6.73602400432205,-3.4235099889981524,1.6781972360483175,0.4279016019058243,2.991210356679008,False,True,Bearish,-0.8734502179432228,-0.7336112675411545,-0.8035307427421886,-0.59,-1.4462574529352437,-1.5962574529352436,-0.2063169587839572,-0.7990262886153474,-1.003132553038452,0.0,9.0,1.0,0.150371648581778,0.4353291109689179,0.1843617866638019,Reliable,-25.93729915554531,NEUTRAL,NEUTRAL,SHORT
2026-06-28,BTC,59550.2,6.060900812080172,-4.7069622417340256,0.989316099309745,0.3449013180905845,5.998226525313614,False,True,Bearish,-0.2495426871206021,-0.1239802347785447,-0.1867614609495734,1.72,-0.094356028616693,-1.3199999999999998,0.382728435833506,0.1489917437209832,-0.0042932521548516,0.5646640633848433,4.0,6.0,0.1969628055749162,0.3050486401274341,0.0562167875611876,Reliable,-16.1849612554192,NEUTRAL,NEUTRAL,NO TRADE
2026-06-28,CRV,0.1892,9.9482530194273,-13.743083433433313,-1.927942897735535,0.5547141417266672,2.027139023859857,False,True,Neutral,0.229286643505087,0.3448340789798043,0.2870603612424456,-1.65,-0.6472095117649338,-0.7972095117649338,0.2801705669101137,-0.4699946459030936,-0.6503278229056962,0.1994476512106831,7.0,3.0,0.3117880863310556,0.5130576708290203,0.1499984835729668,Moderate,-17.149340497220237,NEUTRAL,NEUTRAL,NO TRADE
2026-06-28,ETH,1571.1,8.202391332849723,-8.231541094013428,0.5140518765183177,0.3783205229898557,4.914262835179716,False,True,Bearish,0.5248524577383946,0.6864226022555521,0.6056375299969734,-0.5,0.4845974040927093,0.3345974040927093,0.6114209355095243,0.2629139673998018,0.1368646239668797,0.644463466391073,3.0,7.0,0.0996827250775934,0.180734896150214,0.0535629058015,Reliable,-6.72906492723868,NEUTRAL,NEUTRAL,NO TRADE
2026-06-28,GOLD,4065.01,4.975817206988498,-4.214746992444152,0.5182342552948471,0.784676029757968,1.8695204879060137,False,True,Bearish,-0.1953398111220049,-0.2744597608640686,-0.2348997859930367,0.51,-0.8399793430507884,-2.7699793430507884,0.2730729673452333,-0.555451540424648,-0.6836415142976819,0.1806147475282724,8.0,2.0,0.1854443894079222,0.1888312219890295,0.0253950843740955,Moderate,8.981735995552569,NEUTRAL,NEUTRAL,SHORT
2026-06-28,SOL,71.35,9.196759363161222,-9.669651500093313,-0.6195654641525938,1.1494928273770366,1.515093868644864,False,True,Neutral,0.6748804216520097,0.7310020484652788,0.7029412350586443,2.08,1.131526675181551,0.9815266751815508,0.8022802338486104,1.1416870360222011,0.7657763711387323,1.0,1.0,9.0,0.0942717792304949,0.1417176405159964,0.0411091303536891,Moderate,31.56016107751397,NEUTRAL,NEUTRAL,NO TRADE
2026-06-28,SUI,0.681,10.396151327620217,-16.48476697407325,-3.105682752923411,0.8524082697847604,1.2085652194354135,False,True,Neutral,-0.5681921760839864,-0.649142318598117,-0.6086672473410517,0.16,-0.647828506237901,-0.797828506237901,0.8877372998461819,-0.0896896134331927,-0.0491788562950474,0.5392893233251906,5.0,5.0,0.1426812625971285,0.8953882688601457,0.6389148147096806,Moderate,-5.588191751073907,NEUTRAL,NEUTRAL,NO TRADE
