date,symbol,raw_aggregate_score,slope_21d,mse_21d,mse_mean_20d,mse_std_20d,confidence
2026-06-27,BNB,-1.1137994260398956,-0.0051716780763597,0.1605264593844283,0.4624543011407818,0.1830487571800641,Reliable
2026-06-27,BTC,-0.0380042490222676,-0.0356443042681894,0.2060170244085349,0.3126555676424601,0.0534290067144149,Reliable
2026-06-27,CRV,-0.6751945315242367,-0.0856926620799935,0.3483488188325219,0.5039808308868421,0.1645042583397428,Moderate
2026-06-27,ETH,0.1358825255562716,0.0270541409302104,0.1023249822913036,0.1873756722753597,0.0513253844431802,Reliable
2026-06-27,GOLD,-0.7448035397299377,0.024113728163964,0.2038011435397753,0.1892699479523299,0.0257296636660764,Moderate
2026-06-27,SOL,0.5705775038030834,0.0764676878626833,0.0895823925246594,0.1452128623667375,0.0402885828274212,Moderate
2026-06-27,SUI,0.0550210580760355,0.0560238272596405,0.143711551366894,1.007289600831045,0.6932765651547216,Moderate
2026-06-27,UNI,0.2628440725350076,0.0591129163988778,0.240839813586292,0.1798910885493498,0.0390040732289805,Warning
2026-06-27,VET,-0.2914548627461612,-0.0014718360260718,0.0949549407160932,0.1636907936804574,0.0213932587073572,Reliable
2026-06-28,BNB,-0.7990262886153474,-0.0125873596293748,0.150371648581778,0.4353291109689179,0.1843617866638019,Reliable
2026-06-28,BTC,0.1489917437209832,-0.0427772465791815,0.1969628055749162,0.3050486401274341,0.0562167875611876,Reliable
2026-06-28,CRV,-0.4699946459030936,-0.0970463192989131,0.3117880863310556,0.5130576708290203,0.1499984835729668,Moderate
2026-06-28,ETH,0.2629139673998018,0.0283455285855383,0.0996827250775934,0.180734896150214,0.0535629058015,Reliable
2026-06-28,GOLD,-0.555451540424648,0.0347142888721543,0.1854443894079222,0.1888312219890295,0.0253950843740955,Moderate
2026-06-28,SOL,1.1416870360222011,0.0792511868521913,0.0942717792304949,0.1417176405159964,0.0411091303536891,Moderate
2026-06-28,SUI,-0.0896896134331927,0.0491210721239338,0.1426812625971285,0.8953882688601457,0.6389148147096806,Moderate
2026-06-28,UNI,0.5184057751754106,0.0523699324079367,0.2345369757782689,0.1855123837446558,0.0378341793975098,Moderate
2026-06-28,VET,-0.0196198373489925,-0.0067340584380284,0.0893003756309096,0.1624112265904411,0.0245742804009078,Reliable
